name,password,email,failed_login_attempts,role
Antoine B,quete,antoine-bersegeay_student2024@wilder.school,0,user
Antoine ,antoine,antoine-bersegeay_student2024@wilder.school,0,user
Amrane,amrane,antoine-bersegeay_student2024@wilder.school,0,user
Arthur,arthur,antoine-bersegeay_student2024@wilder.school,0,user
Assia,assia,antoine-bersegeay_student2024@wilder.school,0,user
Claire,claire,antoine-bersegeay_student2024@wilder.school,0,user
Julien,julien,antoine-bersegeay_student2024@wilder.school,0,user
Loïc,loic,antoine-bersegeay_student2024@wilder.school,0,user
Nicolas,nicolas,antoine-bersegeay_student2024@wilder.school,0,user
Pierre,pierre,antoine-bersegeay_student2024@wilder.school,0,user
Sébastien,sebastien,antoine-bersegeay_student2024@wilder.school,0,user
Thomas,thomas,antoine-bersegeay_student2024@wilder.school,0,user
William,william,antoine-bersegeay_student2024@wilder.school,0,user
Yohan,yohan,antoine-bersegeay_student2024@wilder.school,0,user
